finish_jobs_coeff,min_eig_index,status
0.0,20480,NOT OK
0.10067114093959731,33728,OK
0.20134228187919462,33728,OK
0.30201342281879195,33728,OK
0.40268456375838924,33728,OK
0.5033557046979865,33728,OK
0.6040268456375839,33728,OK
0.7046979865771812,33728,OK
0.8053691275167785,33728,OK
0.9060402684563758,33728,OK
1.006711409395973,33728,OK
1.1073825503355703,33728,OK
1.2080536912751678,33728,OK
1.308724832214765,33728,OK
1.4093959731543624,33728,OK
1.5100671140939597,33728,OK
1.610738255033557,33728,OK
1.7114093959731542,33728,OK
1.8120805369127515,33728,OK
1.9127516778523488,33728,OK
2.013422818791946,33728,OK
2.1140939597315436,33728,OK
2.2147651006711406,33728,OK
2.315436241610738,33728,OK
2.4161073825503356,33728,OK
2.5167785234899327,33728,OK
2.61744966442953,33728,OK
2.7181208053691273,33728,OK
2.8187919463087248,33728,OK
2.919463087248322,33728,OK
3.0201342281879193,33728,OK
3.1208053691275164,33728,OK
3.221476510067114,33728,OK
3.3221476510067114,33728,OK
3.4228187919463084,33728,OK
3.523489932885906,33728,OK
3.624161073825503,33728,OK
3.7248322147651005,33728,OK
3.8255033557046976,33728,OK
3.926174496644295,33728,OK
4.026845637583892,33728,OK
4.12751677852349,33728,OK
4.228187919463087,33728,OK
4.328859060402684,33728,OK
4.429530201342281,33728,OK
4.530201342281879,33728,OK
4.630872483221476,33728,OK
4.731543624161073,33728,OK
4.832214765100671,33728,OK
4.932885906040268,33728,OK
5.033557046979865,33728,OK
5.1342281879194624,33728,OK
5.23489932885906,33728,OK
5.3355704697986575,33728,OK
5.4362416107382545,33728,OK
5.536912751677852,33728,OK
5.6375838926174495,33728,OK
5.738255033557047,33728,OK
5.838926174496644,33728,OK
5.939597315436242,33728,OK
6.040268456375839,33728,OK
6.140939597315436,33728,OK
6.241610738255033,33728,OK
6.342281879194631,33728,OK
6.442953020134228,33728,OK
6.543624161073825,33728,OK
6.644295302013423,33728,OK
6.74496644295302,33728,OK
6.845637583892617,33728,OK
6.946308724832214,33728,OK
7.046979865771812,33728,OK
7.147651006711409,33728,OK
7.248322147651006,33728,OK
7.348993288590604,33728,OK
7.449664429530201,33728,OK
7.550335570469798,33728,OK
7.651006711409395,33728,OK
7.751677852348993,33728,OK
7.85234899328859,33728,OK
7.953020134228187,33728,OK
8.053691275167784,33728,OK
8.154362416107382,33728,OK
8.25503355704698,33728,OK
8.355704697986576,33728,OK
8.456375838926174,33728,OK
8.55704697986577,33728,OK
8.657718120805368,33728,OK
8.758389261744966,33728,OK
8.859060402684563,33728,OK
8.95973154362416,33728,OK
9.060402684563758,33728,OK
9.161073825503355,33728,OK
9.261744966442953,33728,OK
9.36241610738255,33728,OK
9.463087248322147,33728,OK
9.563758389261745,33728,OK
9.664429530201343,33728,OK
9.765100671140939,33728,OK
9.865771812080537,33728,OK
9.966442953020133,33728,OK
10.06711409395973,33728,OK
10.167785234899329,33728,OK
10.268456375838925,33728,OK
10.369127516778523,33728,OK
10.46979865771812,33728,OK
10.570469798657717,33728,OK
10.671140939597315,33728,OK
10.771812080536913,33728,OK
10.872483221476509,33728,OK
10.973154362416107,33728,OK
11.073825503355703,33728,OK
11.174496644295301,33728,OK
11.275167785234899,33728,OK
11.375838926174495,33728,OK
11.476510067114093,33728,OK
11.577181208053691,33728,OK
11.677852348993287,33728,OK
11.778523489932885,33728,OK
11.879194630872483,33728,OK
11.97986577181208,33728,OK
12.080536912751677,33728,OK
12.181208053691275,33728,OK
12.281879194630871,33728,OK
12.38255033557047,33728,OK
12.483221476510066,33728,OK
12.583892617449663,33728,OK
12.684563758389261,33728,OK
12.785234899328858,33728,OK
12.885906040268456,33728,OK
12.986577181208053,33728,OK
13.08724832214765,33728,OK
13.187919463087248,33728,OK
13.288590604026846,33728,OK
13.389261744966442,33728,OK
13.48993288590604,33728,OK
13.590604026845636,33728,OK
13.691275167785234,33728,OK
13.791946308724832,33728,OK
13.892617449664428,33728,OK
13.993288590604026,33728,OK
14.093959731543624,33728,OK
14.19463087248322,33728,OK
14.295302013422818,33728,OK
14.395973154362416,33728,OK
14.496644295302012,33728,OK
14.59731543624161,33728,OK
14.697986577181208,33728,OK
14.798657718120804,33728,OK
14.899328859060402,33728,OK
15.0,33728,OK
