no_early_start_coeff,no_early_start_min_eig_index,no_early_start_min_eig_value,score_coeff,score_min_eig_index,score_min_eig_value,finish_time_2_coeff,finish_time_2_min_eig_index,finish_time_2_min_eig_value,finish_time_1_coeff,finish_time_1_min_eig_index,finish_time_1_min_eig_value,finish_all_jobs_coeff,finish_all_jobs_min_eig_index,finish_all_jobs_min_eig_value,no_overlap_coeff,no_overlap_min_eig_index,no_overlap_min_eig_value
0.0,14528,[-369.55555556],0.0,653,[-380.],0.0,648,[-340.],0.0,21128,[-349.77777778],0.0,20480,[-279.77777778],0.0,36608,[-179.55555556]
0.10067114093959731,33728,[-370.45115585],0.10067114093959731,33728,[-379.94407159],0.10067114093959731,33728,[-343.47129008],0.10067114093959731,33728,[-352.46457867],0.10067114093959731,33728,[-280.45115585],0.10067114093959731,33728,[-181.45786726]
0.20134228187919462,33728,[-371.45786726],0.20134228187919462,33728,[-379.88814318],0.20134228187919462,33728,[-347.49813572],0.20134228187919462,33728,[-355.4847129],0.20134228187919462,33728,[-281.45786726],0.20134228187919462,33728,[-183.47129008]
0.30201342281879195,33728,[-372.46457867],0.30201342281879195,33728,[-379.83221477],0.30201342281879195,33728,[-351.52498136],0.30201342281879195,33728,[-358.50484713],0.30201342281879195,33728,[-282.46457867],0.30201342281879195,33728,[-185.4847129]
0.40268456375838924,33728,[-373.47129008],0.40268456375838924,33728,[-379.77628635],0.40268456375838924,33728,[-355.55182699],0.40268456375838924,33728,[-361.52498136],0.40268456375838924,33728,[-283.47129008],0.40268456375838924,33728,[-187.49813572]
0.5033557046979865,33728,[-374.47800149],0.5033557046979865,33728,[-379.72035794],0.5033557046979865,33728,[-359.57867263],0.5033557046979865,33728,[-364.54511559],0.5033557046979865,33728,[-284.47800149],0.5033557046979865,33728,[-189.51155854]
0.6040268456375839,33728,[-375.4847129],0.6040268456375839,33728,[-379.66442953],0.6040268456375839,33728,[-363.60551827],0.6040268456375839,33728,[-367.56524981],0.6040268456375839,33728,[-285.4847129],0.6040268456375839,33728,[-191.52498136]
0.7046979865771812,33728,[-376.49142431],0.7046979865771812,33728,[-379.60850112],0.7046979865771812,33728,[-367.63236391],0.7046979865771812,33728,[-370.58538404],0.7046979865771812,33728,[-286.49142431],0.7046979865771812,33728,[-193.53840418]
0.8053691275167785,33728,[-377.49813572],0.8053691275167785,33728,[-379.55257271],0.8053691275167785,33728,[-371.65920955],0.8053691275167785,33728,[-373.60551827],0.8053691275167785,33728,[-287.49813572],0.8053691275167785,33728,[-195.55182699]
0.9060402684563758,33728,[-378.50484713],0.9060402684563758,33728,[-379.4966443],0.9060402684563758,33728,[-375.68605518],0.9060402684563758,35888,[-376.6256525],0.9060402684563758,33728,[-288.50484713],0.9060402684563758,33728,[-197.56524981]
1.006711409395973,33728,[-379.51155854],1.006711409395973,33728,[-379.44071588],1.006711409395973,33728,[-379.71290082],1.006711409395973,33728,[-379.64578673],1.006711409395973,33728,[-289.51155854],1.006711409395973,33728,[-199.57867263]
1.1073825503355703,33728,[-380.51826995],1.1073825503355703,33728,[-379.38478747],1.1073825503355703,33728,[-383.73974646],1.1073825503355703,33728,[-382.66592095],1.1073825503355703,33728,[-290.51826995],1.1073825503355703,33728,[-201.59209545]
1.2080536912751678,33728,[-381.52498136],1.2080536912751678,33728,[-379.32885906],1.2080536912751678,33728,[-387.7665921],1.2080536912751678,33728,[-385.68605518],1.2080536912751678,33728,[-291.52498136],1.2080536912751678,33728,[-203.60551827]
1.308724832214765,33728,[-382.53169277],1.308724832214765,33728,[-379.27293065],1.308724832214765,33728,[-391.79343773],1.308724832214765,33728,[-388.70618941],1.308724832214765,33728,[-292.53169277],1.308724832214765,33728,[-205.61894109]
